,geometry,Node,pointgeo,x,y,osmid,IsCentroid
84,POINT (105.7302797526988 20.15010465649559),148,POINT (105.7302797526988 20.15010465649559),105.730279753,20.1501046565,84,0
85,POINT (105.7200955648239 20.12789768400085),150,POINT (105.7200955648239 20.12789768400085),105.720095565,20.127897684,85,0
86,POINT (105.728035923464 20.14708322996831),152,POINT (105.728035923464 20.14708322996831),105.728035923,20.14708323,86,0
87,POINT (105.7303095195972 20.15010793589671),154,POINT (105.7303095195972 20.15010793589671),105.73030952,20.1501079359,87,0
88,POINT (105.7811505411738 20.17066442616798),177,POINT (105.7811505411738 20.17066442616798),105.781150541,20.1706644262,88,0
89,POINT (105.751055766576 20.13447144354842),173,POINT (105.751055766576 20.13447144354842),105.751055767,20.1344714435,89,0
90,POINT (105.7641806344436 20.1275969123969),180,POINT (105.7641806344436 20.1275969123969),105.764180634,20.1275969124,90,1
91,POINT (105.7309523294173 20.10813751886187),159,POINT (105.7309523294173 20.10813751886187),105.730952329,20.1081375189,91,1
92,POINT (105.7329377577001 20.1405624447283),160,POINT (105.7329377577001 20.1405624447283),105.732937758,20.1405624447,92,0
93,POINT (105.7342440334553 20.14802408191627),161,POINT (105.7342440334553 20.14802408191627),105.734244033,20.1480240819,93,0
94,POINT (105.7376430378466 20.14438193872591),163,POINT (105.7376430378466 20.14438193872591),105.737643038,20.1443819387,94,0
95,POINT (105.7396885631893 20.14595228997489),165,POINT (105.7396885631893 20.14595228997489),105.739688563,20.14595229,95,0
96,POINT (105.742378799314 20.14220473560133),167,POINT (105.742378799314 20.14220473560133),105.742378799,20.1422047356,96,0
97,POINT (105.7372192222759 20.11436428608095),164,POINT (105.7372192222759 20.11436428608095),105.737219222,20.1143642861,97,0
