,geometry,Node,pointgeo,x,y,osmid,IsCentroid
160,POINT (105.5885765769135 19.99556906996835),319,POINT (105.5885765769135 19.99556906996835),105.588576577,19.99556907,160,0
161,POINT (105.5904602052048 20.01375724325724),323,POINT (105.5904602052048 20.01375724325724),105.590460205,20.0137572433,161,0
162,POINT (105.6478979723265 19.97272595307266),342,POINT (105.6478979723265 19.97272595307266),105.647897972,19.9727259531,162,0
163,POINT (105.6032873860134 20.01732911828972),345,POINT (105.6032873860134 20.01732911828972),105.603287386,20.0173291183,163,0
164,POINT (105.6354324296803 19.98960453933883),349,POINT (105.6354324296803 19.98960453933883),105.63543243,19.9896045393,164,1
165,POINT (105.6011799513092 20.00897705096967),350,POINT (105.6011799513092 20.00897705096967),105.601179951,20.008977051,165,0
166,POINT (105.6167689728781 20.01519547653586),357,POINT (105.6167689728781 20.01519547653586),105.616768973,20.0151954765,166,0
167,POINT (105.6108948312432 20.0105104330321),360,POINT (105.6108948312432 20.0105104330321),105.610894831,20.010510433,167,0
168,POINT (105.6295672669363 20.00816242722288),363,POINT (105.6295672669363 20.00816242722288),105.629567267,20.0081624272,168,1
169,POINT (105.6159752383145 19.98698874452593),364,POINT (105.6159752383145 19.98698874452593),105.615975238,19.9869887445,169,0
170,POINT (105.6444070181261 19.95956433717415),368,POINT (105.6444070181261 19.95956433717415),105.644407018,19.9595643372,170,0
171,POINT (105.6513268585818 19.98967990707178),373,POINT (105.6513268585818 19.98967990707178),105.651326859,19.9896799071,171,1
172,POINT (105.6331342214845 20.00287072550921),374,POINT (105.6331342214845 20.00287072550921),105.633134221,20.0028707255,172,0
173,POINT (105.6435790916026 19.9999585069057),378,POINT (105.6435790916026 19.9999585069057),105.643579092,19.9999585069,173,0
174,POINT (105.6491311727721 19.96419272361678),382,POINT (105.6491311727721 19.96419272361678),105.649131173,19.9641927236,174,1
175,POINT (105.6622494720992 19.96221853963299),388,POINT (105.6622494720992 19.96221853963299),105.662249472,19.9622185396,175,0
176,POINT (105.6663103055197 19.98294640266909),390,POINT (105.6663103055197 19.98294640266909),105.666310306,19.9829464027,176,1
177,POINT (105.6745146603694 20.00675118474403),397,POINT (105.6745146603694 20.00675118474403),105.67451466,20.0067511847,177,1
178,POINT (105.6854056438134 19.99805391038117),404,POINT (105.6854056438134 19.99805391038117),105.685405644,19.9980539104,178,0
